tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,runtimeMinutes,genres,averageRating,numVotes,lead_actors_ids,plot,budget,box_office,language,country
tt0494238,movie,Inkheart,Inkheart,0,2008.0,106.0,"Adventure,Family,Fantasy",6.1,85499,"['nm0000409', 'nm0785227', 'nm1146916', 'nm0347149', 'nm0833380']","A teenage girl discovers her father has an amazing talent to bring characters out of their books and must try to stop a freed villain from destroying them all, with the help of her father, her aunt, and a storybook's hero.",$60 million,$62.4 million,English,
tt0109446,movie,The Client,The Client,0,1994.0,119.0,"Crime,Drama,Mystery",6.7,85481,"['nm0000215', 'nm0000169', 'nm0000605', 'nm0000571', 'nm0001439']",A young boy who witnessed the suicide of a mafia lawyer hires an attorney to protect him when the District Attorney tries to use him to take down a mob family.,,,,
tt0112870,movie,Dilwale Dulhania Le Jayenge,Dilwale Dulhania Le Jayenge,0,1995.0,181.0,"Drama,Romance",8.0,85432,"['nm0451321', 'nm0004418', 'nm0700869', 'nm0416077', 'nm0451600']","When Raj meets Simran in Europe, it isn't love at first sight but when Simran moves to India for an arranged marriage, love makes its presence felt.",₹4 crore,₹102.5 crore,Hindi,India
tt0162650,movie,Shaft,Shaft,0,2000.0,99.0,"Action,Crime,Thriller",6.0,85317,"['nm0000168', 'nm0001853', 'nm0000288', 'nm0942482', 'nm0005354']",New York City police detective John Shaft (nephew of the original 1970s detective) goes on a personal mission to make sure the son of a real estate tycoon is brought to justice after a racially-motivated murder.,,,,
tt0370986,movie,Mysterious Skin,Mysterious Skin,0,2004.0,105.0,Drama,7.6,85258,"['nm1227232', 'nm0330687', 'nm0000223', 'nm0255175', 'nm1530280']","Two pre-adolescent boys both experienced a strange event and later it affects their lives in different ways. One becomes a reckless, sexually adventurous prostitute, while the other retreats into a reclusive fantasy of alien abduc...",,$2.1 million,English,
tt0419887,movie,The Kite Runner,The Kite Runner,0,2007.0,128.0,Drama,7.5,85243,"['nm2043234', 'nm2520301', 'nm0503033', 'nm0869467', 'nm2860274']","Amir lives in California with his wife Soraya. He receives a call from his uncle Rahim Khan who urges him to travel to Afghanistan and rescue the son of Amir's childhood servant and friend, Hassan.",$20 million,$73.2 million,DariEnglishPashtoUrdu,United States
tt0102975,movie,Star Trek VI: The Undiscovered Country,Star Trek VI: The Undiscovered Country,0,1991.0,110.0,"Action,Adventure,Sci-Fi",7.3,85158,"['nm0000638', 'nm0000559', 'nm0001420', 'nm0001150', 'nm0000479']","On the eve of retirement, Kirk and McCoy are charged with assassinating the Klingon High Chancellor and imprisoned. The Enterprise crew must help them escape to thwart a conspiracy aimed at sabotaging the last best hope for peace.",$30 million,$96.8 million,English,United States
tt3513498,movie,The Lego Movie 2: The Second Part,The Lego Movie 2: The Second Part,0,2019.0,107.0,"Adventure,Animation,Comedy",6.5,85143,"['nm0695435', 'nm0695435', 'nm0006969', 'nm0006969', 'nm0004715']","It's been five years since everything was awesome and the citizens are facing the huge new threat of Lego Duplo, invaders from outer space, wrecking everything faster than they can rebuild.",$99 million,$199.6 million,English,
tt0114558,movie,Strange Days,Strange Days,0,1995.0,145.0,"Crime,Drama,Sci-Fi",7.2,85116,"['nm0000146', 'nm0000291', 'nm0000496', 'nm0001744', 'nm0000699']",A black-marketeer tries to save a woman in 1999 Los Angeles.,$42 million,$17 million,English,United States
tt0205000,movie,Deuce Bigalow: Male Gigolo,Deuce Bigalow: Male Gigolo,0,1999.0,88.0,"Comedy,Romance",5.7,85096,"['nm0001705', 'nm0001235', 'nm0341176', 'nm0054397', 'nm0004912']","An average aquarium cleaner house-sits for a gigolo, only to be forced to become one himself.",$17 million,$92.9 million,English,United States
